customer,gender,age,employment_industry,employment_status,account_tenure_years,income_band,device,channel
C12976926337644,F,39,technology,unemployed,9,2_20k_40k,mobile,branch
C14368611669296,M,49,education,employed,10,3_40k_60k,desktop,mobile_app
C17694553858863,F,34,technology,employed,16,2_20k_40k,desktop,mobile_app
C24211332442813,M,19,technology,unemployed,1,1_<20k,mobile,mobile_app
C26191441143115,F,31,retail,self_employed,7,2_20k_40k,desktop,phone
C32233661939748,M,54,public_sector,employed,13,4_60k_90k,desktop,branch
C37542139795721,M,40,retail,employed,6,2_20k_40k,tablet,branch
C37595879336756,F,53,education,employed,15,2_20k_40k,desktop,online_banking
C41869945341411,M,37,retail,employed,13,2_20k_40k,desktop,mobile_app
C44573437474911,M,44,construction,employed,17,2_20k_40k,mobile,online_banking
C45519673595193,M,35,education,unemployed,5,2_20k_40k,mobile,mobile_app
C47796892163886,F,31,technology,employed,1,2_20k_40k,mobile,mobile_app
C48445558373583,F,37,retail,employed,10,1_<20k,mobile,phone
C52132423127766,F,56,public_sector,self_employed,17,2_20k_40k,desktop,online_banking
C55457419782927,M,42,public_sector,employed,14,4_60k_90k,desktop,branch
C59916723775159,M,36,retail,employed,6,2_20k_40k,mobile,mobile_app
C69378646271919,M,52,education,employed,18,2_20k_40k,mobile,mobile_app
C75424422224546,F,18,retail,student,0,1_<20k,desktop,mobile_app
C82849917986274,M,27,public_sector,employed,4,2_20k_40k,mobile,mobile_app
C83184926148212,F,47,public_sector,employed,14,2_20k_40k,mobile,mobile_app
C89884749832556,F,31,construction,self_employed,9,1_<20k,mobile,branch
K15538681292533,F,50,retail,employed,9,1_<20k,desktop,online_banking
K26553225186456,M,24,retail,unemployed,1,1_<20k,tablet,branch
K26588317771242,M,63,finance,employed,17,2_20k_40k,mobile,branch
K26815935327225,M,55,retail,employed,16,4_60k_90k,desktop,mobile_app
K27459725692695,M,59,public_sector,employed,11,2_20k_40k,mobile,mobile_app
K29555574823165,M,29,retail,employed,8,1_<20k,mobile,mobile_app
K32167846713976,F,43,public_sector,employed,15,2_20k_40k,desktop,online_banking
K32786635623393,F,71,manufacturing,retired,20,3_40k_60k,mobile,online_banking
K33411671937212,M,59,technology,employed,12,4_60k_90k,desktop,branch
K51727366778353,F,51,healthcare,employed,18,3_40k_60k,mobile,mobile_app
K59474963642861,M,21,healthcare,student,3,1_<20k,tablet,online_banking
K61564325711444,M,30,technology,employed,4,1_<20k,desktop,mobile_app
K62294925832574,F,45,manufacturing,employed,11,3_40k_60k,mobile,online_banking
K65138125882614,F,36,technology,unemployed,11,1_<20k,desktop,phone
K66697993264224,M,24,finance,employed,1,1_<20k,desktop,branch
K78858627746255,F,57,manufacturing,unemployed,20,3_40k_60k,mobile,mobile_app
K78979813835367,M,58,technology,employed,23,2_20k_40k,desktop,branch
K84572135537848,M,48,manufacturing,employed,13,2_20k_40k,desktop,mobile_app
P13677181721668,F,33,retail,employed,12,3_40k_60k,desktop,online_banking
P15548126819441,F,32,healthcare,employed,10,2_20k_40k,tablet,online_banking
P16521245134351,M,44,finance,employed,17,2_20k_40k,desktop,online_banking
P16928497251214,M,67,retail,retired,22,2_20k_40k,tablet,online_banking
P18729511512297,F,50,technology,employed,22,2_20k_40k,desktop,online_banking
P21819235691331,M,29,technology,employed,6,2_20k_40k,desktop,branch
P23966895722521,F,49,manufacturing,employed,11,3_40k_60k,mobile,online_banking
P24834327352236,F,49,public_sector,employed,7,2_20k_40k,mobile,mobile_app
P26651782433376,F,27,manufacturing,employed,9,1_<20k,mobile,mobile_app
P35637374214497,F,55,healthcare,self_employed,15,1_<20k,mobile,mobile_app
P42868171444816,F,62,public_sector,employed,20,2_20k_40k,mobile,mobile_app
P44957433192543,F,57,retail,employed,15,3_40k_60k,mobile,phone
